date,indicator,value,period
20200825,원/엔 환율,1122.96,D
20200825,원/유로 환율,1403.31,D
20200826,원/달러 환율,1186.3,D
20200826,원/엔 환율,1115.21,D
20200826,원/유로 환율,1403.81,D
20200827,원/달러 환율,1187.0,D
20200827,원/엔 환율,1120.87,D
20200827,원/유로 환율,1405.11,D
20200828,원/달러 환율,1185.7,D
20200828,원/엔 환율,1112.6,D
20200828,원/유로 환율,1401.56,D
20200831,원/달러 환율,1185.1,D
20200831,원/엔 환율,1123.0,D
20200831,원/유로 환율,1411.22,D
202009,기준금리,0.5,M
20200901,원/달러 환율,1183.3,D
20200901,원/엔 환율,1117.32,D
20200901,원/유로 환율,1412.56,D
20200902,원/달러 환율,1184.6,D
20200902,원/엔 환율,1118.39,D
20200902,원/유로 환율,1411.87,D
20200903,원/달러 환율,1186.2,D
20200903,원/엔 환율,1116.69,D
20200903,원/유로 환율,1406.06,D
20200904,원/달러 환율,1187.5,D
20200904,원/엔 환율,1119.28,D
20200904,원/유로 환율,1407.13,D
20200907,원/달러 환율,1190.2,D
20200907,원/엔 환율,1119.92,D
20200907,원/유로 환율,1409.61,D
20200908,원/달러 환율,1187.2,D
20200908,원/엔 환율,1116.79,D
20200908,원/유로 환율,1403.09,D
20200909,원/달러 환율,1187.9,D
20200909,원/엔 환율,1120.5,D
20200909,원/유로 환율,1397.15,D
20200910,원/달러 환율,1189.6,D
20200910,원/엔 환율,1120.2,D
20200910,원/유로 환율,1404.62,D
20200911,원/달러 환율,1185.3,D
20200911,원/엔 환율,1116.57,D
20200911,원/유로 환율,1401.8,D
20200914,원/달러 환율,1188.3,D
20200914,원/엔 환율,1119.77,D
20200914,원/유로 환율,1407.6,D
20200915,원/달러 환율,1184.2,D
20200915,원/엔 환율,1119.97,D
20200915,원/유로 환율,1405.23,D
20200916,원/달러 환율,1180.5,D
20200916,원/엔 환율,1120.07,D
20200916,원/유로 환율,1398.72,D
20200917,원/달러 환율,1177.8,D
20200917,원/엔 환율,1121.66,D
20200917,원/유로 환율,1391.16,D
20200918,원/달러 환율,1175.4,D
20200918,원/엔 환율,1122.48,D
20200918,원/유로 환율,1393.26,D
20200921,원/달러 환율,1163.6,D
20200921,원/엔 환율,1113.44,D
20200921,원/유로 환율,1378.46,D
20200922,원/달러 환율,1160.6,D
20200922,원/엔 환율,1108.34,D
20200922,원/유로 환율,1365.5,D
20200923,원/달러 환율,1163.9,D
20200923,원/엔 환율,1108.79,D
20200923,원/유로 환율,1362.64,D
20200924,원/달러 환율,1164.4,D
20200924,원/엔 환율,1104.9,D
20200924,원/유로 환율,1357.87,D
20200925,원/달러 환율,1170.3,D
20200925,원/엔 환율,1110.18,D
20200925,원/유로 환율,1366.09,D
20200928,원/달러 환율,1170.5,D
20200928,원/엔 환율,1108.59,D
20200928,원/유로 환율,1361.58,D
20200929,원/달러 환율,1173.5,D
20200929,원/엔 환율,1112.06,D
20200929,원/유로 환율,1369.42,D
202010,기준금리,0.5,M
20201005,원/달러 환율,1169.5,D
20201005,원/엔 환율,1108.48,D
20201005,원/유로 환율,1370.19,D
20201006,원/달러 환율,1163.4,D
20201006,원/엔 환율,1100.19,D
20201006,원/유로 환율,1371.01,D
20201007,원/달러 환율,1160.0,D
20201007,원/엔 환율,1098.22,D
20201007,원/유로 환율,1361.14,D
20201008,원/달러 환율,1162.5,D
20201008,원/엔 환율,1096.91,D
20201008,원/유로 환율,1367.86,D
20201012,원/달러 환율,1156.2,D
20201012,원/엔 환율,1094.63,D
20201012,원/유로 환율,1366.45,D
20201013,원/달러 환율,1148.3,D
20201013,원/엔 환율,1090.04,D
20201013,원/유로 환율,1356.54,D
20201014,원/달러 환율,1149.5,D
20201014,원/엔 환율,1089.68,D
20201014,원/유로 환율,1349.92,D
20201015,원/달러 환율,1145.7,D
20201015,원/엔 환율,1089.38,D
20201015,원/유로 환율,1345.57,D
20201016,원/달러 환율,1144.6,D
20201016,원/엔 환율,1086.22,D
20201016,원/유로 환율,1340.04,D
20201019,원/달러 환율,1145.6,D
20201019,원/엔 환율,1086.7,D
20201019,원/유로 환율,1341.9,D
20201020,원/달러 환율,1142.2,D
20201020,원/엔 환율,1083.01,D
20201020,원/유로 환율,1344.2,D
20201021,원/달러 환율,1139.7,D
20201021,원/엔 환율,1080.03,D
20201021,원/유로 환율,1348.32,D
20201022,원/달러 환율,1133.7,D
20201022,원/엔 환율,1083.9,D
20201022,원/유로 환율,1344.4,D
20201023,원/달러 환율,1134.1,D
20201023,원/엔 환율,1081.28,D
20201023,원/유로 환율,1340.68,D
20201026,원/달러 환율,1134.6,D
20201026,원/엔 환율,1083.51,D
20201026,원/유로 환율,1343.99,D
20201027,원/달러 환율,1129.1,D
20201027,원/엔 환율,1076.72,D
20201027,원/유로 환율,1333.47,D
20201028,원/달러 환율,1127.6,D
20201028,원/엔 환율,1078.99,D
20201028,원/유로 환율,1328.26,D
20201029,원/달러 환율,1129.3,D
20201029,원/엔 환율,1082.28,D
20201029,원/유로 환율,1326.36,D
20201030,원/달러 환율,1133.4,D
20201030,원/엔 환율,1083.5,D
20201030,원/유로 환율,1323.07,D
202011,기준금리,0.5,M
20201102,원/달러 환율,1130.4,D
20201102,원/엔 환율,1080.07,D
20201102,원/유로 환율,1316.07,D
20201103,원/달러 환율,1134.7,D
20201103,원/엔 환율,1083.3,D
20201103,원/유로 환율,1320.96,D
20201104,원/달러 환율,1134.6,D
20201104,원/엔 환율,1083.82,D
20201104,원/유로 환율,1331.79,D
20201105,원/달러 환율,1136.5,D
20201105,원/엔 환율,1087.61,D
20201105,원/유로 환율,1332.43,D
20201106,원/달러 환율,1130.9,D
20201106,원/엔 환율,1091.66,D
20201106,원/유로 환율,1337.18,D
20201109,원/달러 환율,1124.4,D
20201109,원/엔 환율,1089.06,D
20201109,원/유로 환율,1336.97,D
20201110,원/달러 환율,1115.6,D
20201110,원/엔 환율,1059.6,D
20201110,원/유로 환율,1318.25,D
20201111,원/달러 환율,1115.9,D
20201111,원/엔 환율,1059.89,D
20201111,원/유로 환율,1318.88,D
20201112,원/달러 환율,1112.4,D
20201112,원/엔 환율,1055.46,D
20201112,원/유로 환율,1310.35,D
20201113,원/달러 환율,1113.2,D
20201113,원/엔 환율,1059.53,D
20201113,원/유로 환율,1314.41,D
20201116,원/달러 환율,1115.1,D
20201116,원/엔 환율,1065.4,D
20201116,원/유로 환율,1320.56,D
20201117,원/달러 환율,1108.0,D
20201117,원/엔 환율,1059.73,D
20201117,원/유로 환율,1313.92,D
20201118,원/달러 환율,1106.8,D
20201118,원/엔 환율,1062.34,D
20201118,원/유로 환율,1312.83,D
20201119,원/달러 환율,1105.9,D
20201119,원/엔 환율,1065.26,D
20201119,원/유로 환율,1310.82,D
20201120,원/달러 환율,1112.2,D
20201120,원/엔 환율,1071.54,D
